feature,p_value,score,gbr,rf,xgb,BayesianRidge,mean
p1_H1,6.450686889377688e-05,16.078082850662675,2.140011773002534e-05,0.0006547245696313355,0.00016105217,0.19272905272255497,0.048391557395526245
p1_H3,0.6231335170569434,0.24161195319913206,0.0,0.0,0.0,0.0,0.0
p1_NCI,2.222031531165579e-15,64.54760085206303,0.0016149411011346705,0.00014115047560172642,7.680471e-05,0.028222334683811107,0.00751380774270214
p2_H1,0.11472783752225776,2.4914496498879237,0.0,0.0,0.0,0.0,0.0
p2_H3,6.2157744839013415e-22,96.34229023080866,0.00029214505367131853,8.013825390396105e-05,8.0811034e-05,0.08479050538490869,0.021310899931726586
p2_NCI,0.2139707533804579,1.5459812294657747,0.0,0.0,0.0,0.0,0.0
p3_H1,8.077549419411142e-36,166.69056108475257,0.0005639237729008416,0.00041649491711485785,8.1842634e-05,0.11718647032178192,0.02956218291151061
p3_H3,6.303752152078058e-29,131.27640719793433,0.001312480521366671,7.078717664739354e-05,0.0,0.07802927261249999,0.019853135077628516
p3_NCI,8.003393957436608e-19,81.13807691656302,0.006408037240219435,5.4749885143467305e-05,1.4694326e-05,0.09723941193818654,0.0259292233473193
p4_H1,9.334619361072421e-12,47.38767230127845,2.8752201171034565e-05,0.0002527522441905035,0.0004131182,0.009114993281276811,0.0024524039797164765
p4_H3,3.8843246650465416e-160,997.5080237311721,1.589946767675359e-05,3.015707098804476e-06,0.0,0.02553915295849345,0.006389517033317252
p4_NCI,1.1285317461701799e-55,274.253999159778,0.0013205682473975253,0.0006025580448028137,0.0015574822,0.040961370749551335,0.011110494803854508
p5_H1,0.04755871848007813,3.933519994036934,0.012014521461542029,0.00036856389644208097,0.00034985805,0.10884942624341744,0.030395592412385174
p5_H3,0.49185424918252585,0.47275520313960706,0.0,0.0,0.0,0.0,0.0
p5_NCI,0.0010730632606020022,10.74897677170665,0.0006981441418754921,0.0007020349787866565,0.00034233351,0.0991207534333344,0.025215816517176394
p6_H1,5.185190505985089e-10,39.2457298772669,0.00018647377379404288,0.0007154448103713636,0.00013620214,0.15079503699995828,0.03795828943179081
p6_H3,6.650674556342249e-181,1178.9601535554798,3.615710165503579e-05,1.1305884733744694e-05,0.0,0.16769912372918153,0.041936646678892575
p6_NCI,0.7477423521531377,0.10348514428247617,0.0,0.0,0.0,0.0,0.0
p7_H1,7.373860537236526e-43,203.87606279933559,0.00011297836195579577,0.0006927081541582564,7.0988594e-06,0.056274701605470046,0.014271871745256428
p7_H3,1.8664035412465762e-26,118.81613656795388,4.310644672350594e-07,1.68425005677225e-05,0.0,0.054600828502335726,0.01365452551684267
p7_NCI,3.2819879153884938e-24,107.60609671923562,5.252246070759514e-05,0.0005605271613983261,1.1899065e-06,0.001589860088046292,0.0005510249041556145
p8_H1,9.361770359024068e-65,326.28325378233944,0.0008759617384127468,0.00023231871721668773,0.0015170728,0.03388458993750247,0.009127485794694407
p8_H3,9.78672679359729e-06,19.719775758238217,1.5825695618210266e-05,1.1664104421264825e-05,0.0,0.05549626317792297,0.013880938244490612
p8_NCI,1.1478054754095428e-25,114.86541291709253,0.00010930941909495186,0.00021103513731776546,0.0,0.06836690366010338,0.017171812054129026
p9_H1,0.029012900531697382,4.77823646382613,4.1775428795821374e-08,4.588329768615866e-05,0.0010075773,0.008084656606372706,0.0022845397418630457
p9_H3,0.31922506092498715,0.9929367282547529,0.0,0.0,0.0,0.0,0.0
p9_NCI,8.524068134655768e-05,15.543804515199698,9.706038519345005e-05,8.683875035776018e-05,0.0,0.03548673631865362,0.008917658863551208
p10_H1,9.691380642962032e-31,140.49823486292937,2.7287115488000258e-06,0.0001563967814741433,0.0002977703,0.014637677830247957,0.003773643408715296
p10_H3,2.8541763117863792e-21,93.08851980780545,4.657399493454628e-05,0.00016489288645213596,0.0,0.007711821082026234,0.001980821990853229
p10_NCI,1.2573750596212445e-25,114.66744770872906,6.086395365553393e-06,0.0005746153261865654,0.0,0.04128487664185336,0.01046639459085137
p11_H1,3.688424860797697e-36,168.46519609656002,7.78177281330429e-05,7.203314051254085e-06,0.00014430127,0.007263046728077721,0.0018730922609140985
p11_H3,6.808170558755304e-09,34.07404702919274,7.431359659308035e-06,3.1513474310413273e-05,0.0,0.04974988790849079,0.012447208185615127
p11_NCI,5.502390845168665e-06,20.84004557986341,0.00017279454087028791,2.2878735785858202e-05,0.0,0.04066050550940276,0.010214044696514726
p12_H1,2.1502177326956642e-23,103.5559947653567,4.609656266249442e-05,0.00015842502294429684,3.3180464e-07,0.04919512254924183,0.012349993984872763
p12_H3,4.603597499417211e-27,121.86938976730325,2.4059576740326136e-05,4.041241468742002e-06,0.0,0.06072358075930877,0.015187920394379458
p12_NCI,3.876853336660144e-27,122.244688400181,0.00011042618675536461,0.0001809563491480046,0.0,0.09610032511674685,0.024097926913162555
p13_H1,1.9014672213506703e-79,414.40906858164755,0.0001486482998120585,0.0006512815937039395,0.0025858164,0.04119483421220586,0.01114514513391245
p13_H3,4.494263423168603e-42,199.6784337444938,0.0001511888042793255,7.062500055194022e-05,0.0,0.05586581586471469,0.014021907417386488
p13_NCI,7.380003431445352e-11,43.18650737837688,0.0004205526558752179,0.0009629299893771693,3.52135e-05,0.018833447206079552,0.005063035837672757
p14_H1,0.3587606141391253,0.842869071991915,0.0,0.0,0.0,0.0,0.0
p14_H3,0.6135352832527272,0.2551913022455851,0.0,0.0,0.0,0.0,0.0
p14_NCI,0.6522074576080024,0.2032294972968181,0.0,0.0,0.0,0.0,0.0
p15_H1,5.967302451424921e-97,526.0881233953044,0.001290380108254681,0.00029639913088852656,9.865992e-05,0.00015435732781069562,0.000459949121457567
p15_H3,1.6096874917847522e-66,336.60648495384544,3.9641194299396716e-07,0.0002884538242047674,1.03955945e-05,0.04268139341837746,0.010745159812249395
p15_NCI,1.2685448719872319e-28,129.73840237050825,0.008514105738057956,0.0009880752973623137,0.0009821842,0.1262962083124661,0.03419514338594435
p16_H1,5.196365536301375e-22,96.72527475128592,0.00010366668261764426,1.758080836296634e-05,0.00010326607,0.051920281395545935,0.013036198739877483
p16_H3,0.003804683715458821,8.407316664517268,0.0,0.0,0.0,0.033152321387869804,0.008288080346967451
p16_NCI,7.312129883529519e-12,47.8852742159079,1.768829176813224e-06,4.7212358281640305e-05,0.0,0.050407284012254985,0.01261406629992836
p17_H1,3.887471306887515e-39,184.0868750774194,0.0011879413115038291,8.524354505018143e-05,6.945613e-05,0.06566872281369418,0.016752840950390528
p17_H3,4.0824316099622575e-38,178.70749672991,4.747275799117045e-07,4.343273128772695e-06,0.0,0.024699607341529692,0.006176106335559594
p17_NCI,3.0368822529017474e-51,249.52858764289783,0.00018438219001593747,0.008202589160844227,0.0002315853,0.07011023110165752,0.01968219693945456
p18_H1,1.0079551831322526e-27,125.1911773192336,0.05887128212224161,3.9615094621491936e-05,9.859455e-05,0.016912027553060385,0.01898037983039916
p18_H3,7.701871503632641e-59,292.18598399248117,0.0,1.1704236029666913e-06,0.0,0.0043243080885575925,0.0010813696280401399
